Brand  ,Name of the product,Price,Purpose,Description,  Time of Use (AM or PM)  ,How often to be used a week,Key Ingredients,Ingredients,How to use (skin),PH Level,Skin Type,Is it safe for sensitive skin?,Age target,Helps with,Results showing in the period,What product should not be used together,UV sensitivity increase,How much to apply,Function,
The Inkey List  ,KAOLIN CLAY MASK  ,$6.99,Treat  ,"A natural, deep-cleaning face mask using high-grade clay to help absorb excess oil. Great for oil/blemish-prone skin.

Great for blemish-prone skin, this white clay helps to draw out impurities and improve oil control. It can be used regularly without drying the skin. Kaolin Clay is gentle, so it's perfect for all skin types as a deep clean once or twice a week.",  AM/PM  ,2,"Kaolin clay helps remove skin impurities
Smectite clay helps to absorb excess oil  ","Aqua (Water/ Eau), Kaolin, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Olivate, Helianthus Annuus (Sunflower) Seed Oil, Magnesium Aluminum Silicate, Phenoxyethanol, Sorbitan Olivate, Glyceryl Stearate SE, Stearic Acid, Benzyl Alcohol, Aloe Barbadensis Leaf Juice Powder, Sodium Stearoyl Glutamate, Centella Asiatica Leaf Extract, Ethylhexylglycer- in, Tocopherol, Tocopheryl Acetate, Xanthan Gum, Chondrus Crispus (Carrageenan) Extract, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Lithothamnium Calcarum Extract, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate.","Clean, damp  ", 5.0-6.0  ,"Acne-prone, Blemishes, Oily  ",No  ,Any  ,Hydration; Control excess oil;  Reduce blemishes  ,N/A  ,N/A  ,Yes  ,Grape-sized  ,Control oil  ,
The Inkey List  ,PEPTIDE MOISTURIZER  ,$14.99,Moisturize  ,"A nurturing yet fast-absorbing daily moisturizer with a peptide duo that helps support natural collagen and hydrate skin. Peptides are small but mighty amino acid chains that support the firming, hydrating proteins for your skin. With continued use, these peptides help support natural collagen, leaving skin looking youthful and feeling comfortable.",  AM/PM  ,No restrictions  ,"2% Royal Epigen P5™helps to even skin tone and delay the aging of skin cells.
1% Hydrating Peptide Solution: Supports your skin’s moisture barrier for visibly radiant skin.  ","Aqua (Water/Eau), Caprylic/Capric Triglyceride, Glycerin, C12-15 Alkyl Benzoate, Cetearyl Alcohol, Glyceryl Stearate SE, Betaine, Butylene Glycol, Phenoxyethanol, Benzyl Alcohol, Carbomer, Butyrospermum Parkii (Shea) Butter, Sodium Stearoyl Glutamate, Sodium Hydroxide, Ethylhexyl-glycerin, Sodium Gluconate, Tocopheryl Acetate, Dehydroacetic Acid, Hydrogenated Lecithin, Phenethyl Alcohol, Acetyl Hexapeptide-37, Maltodextrin, Pentapeptide-48.","Clean, treated  ",6.0-7.0  ,"Dry, Aging  ",Yes  ,Any  ,Hydration; Nourish skin; Anti-aging  ,Immediately  ,N/A  ,No  ,Pea-sized  ,"Seal the moisture, boost production  ",
The Inkey List  ,POLYGLUTAMIC ACID  ,$14.99,Treat  ,"A powerful hydrator for the skin's surface, Polygluatmic Acid can hold 4x more moisture than Hyaluronic Acid, locking in moisture and helping the skin appear instantly smoother.

This 3% high molecular weight amino polymer is specifically designed to enhance skin moisturization on the surface. This helps to reduce the appearance of fine lines, as well as brighten and even skin tone. The lightweight silky texture creates a perfect make-up canvas.",  AM/PM  ,No restrictions  ,"3% polyglutamic acid complex is a natural high molecular weight amino acid polymer, specifically designed to enhance skin moisturization.
2% invisaskin maintains moisture levels in the skin.  ","Aqua (Water/Eau), Glycerin, Glyceryl Stearate SE, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Cocos Nucifera (Coconut) Oil, Stearic Acid, Phenoxyethanol, Benzyl Alcohol, Carbomer, Sodium Hydroxide, Niacinamide, Panthenol, Sodium Ascorbyl Phosphate, Sodium Hyaluronate, Tocopheryl Acetate, Ethylhexylglycerin, Dehydroacetic Acid, Lecithin, Trisodium Ethylenediamine Disuccinate, Ascorbyl Palmitate, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil.","Clean, treated  ",6.0-7.0  ,"Dry, Uneven skin texture  ",Yes  ,Any  ,Hydration; Glow  ,Immediately  ,N/A  ,No  ,Pea-sized  ,Seal the moisture  ,
The Inkey List  ,ROSEHIP OIL  ,$10.99,Moisturize  ,"100% cold pressed, natural facial oil with antioxidant properties. Rosehip Oil helps to brighten and improve the appearance of skin tone and texture.

Rosehip Oil is packed with essential fatty acids, Omega-6 and skin beneficial vitamins. It provides an overnight nourishment boost for dull or tired skin and helps tackle uneven skin tone. Beneficial for all skin types, it hydrates and soothes dry skin and contains Linoleic Acid, which can help to regulate oil production for those with oily or acne prone skin. ",  PM  ,No restrictions  ,"100% pure Rosehip Oil for smoother, softer skin
Naturally contains omega-6 fatty acids  ",100% Rosa Canina Fruit Oil.,"Clean, treated  ",N/A  ,"Dry, Uneven skin texture  ",Yes  ,Any  ,Hydration; Skin texture improvement; Anti-aging  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Protect the barrier  ,
The Inkey List  ,CERAMIDE NIGHT TREATMENT  ,$14.99,Treat  ,"Naturally found in the skin, Ceramide is the glue that binds skin cells together, helping the skin’s barrier feel rehydrated, supple and protected. This 3% blend of Ceramides works overnight at various levels of the skin to target dehydrated skin. This treatment is also formulated with a 2.5% multi-molecular Hyaluronic Acid, giving an all over surge of skin plumping hydration.",  PM  ,3,"3% multi ceramide complex helps to protect and rehydrate skin
2.5% multi molecular hyaluronic acid that helps to hydrate, plump and soothe dry skin  ","Aqua (Water/ Eau), Butylene Glycol, Glycerin, Sodium Hyaluronate, Simmondsia Chinensis (Jojoba) Seed Oil, Carbomer, Phenoxyethanol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Benzyl Alcohol, Squalane, Sodium Lauroyl Lactylate, Sodium PCA, Sodium Hydroxide, Sodium Stearoyl Glutamate, Sodium Lactate, Arginine, Aspartic Acid, Ethylhexylglycerin, Sodium Gluconate, PCA, Polysorbate 60, Dehydroacetic Acid, Ceramide NP, Glycine, Alanine, Sorbitan Isostearate, Ceramide AP, Phytosphingosine, Serine, Cholesterol, Valine, Xanthan Gum, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Ceramide EOP.","Clean, treated  ",6.0-7.0  ,"Dull skin, uneven skin texture  ",Yes  ,Any  ,Hydration; Smoother skin; Brighter Skin  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Protect the barrier  ,
The Inkey List  ,HEPTA-PEPTIDE  ,$14.99,Treat  ,"This patented peptide sequence helps to promote skin renewal and targets the appearance of fine lines.

Creates an instant blurring effect with leading-edge cosmetic soft-focus technology. This combines with a seven-sequence peptide to help give your skin a smoother appearance, as well as providing a mattifying make-up base. Long-term, its patented peptide sequence helps reduce the look of crepey skin, fine lines and wrinkles.",  AM/PM  ,No restrictions  ,"5% gransome heptapeptide –7* helps visibly reduce crepey skin *Gransome Heptapeptide-7 is a trademark of Grant Industries, Inc. and is used with permission.
Squalane to help hydrate and protect skin  ","Water (Aqua / Eau), Glycerin, Butylene Glycol, Propanediol, Phenoxyethanol, Hydroxyethylcellulose, Disodium EDTA, Leuconostoc/Radish Root Ferment Filtrate, Carbomer, Hyaluronic Acid, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Dipeptide-5 Diaminohydroxybutyrate, Polysorbate 20, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1.",Clean  ,6.0-7.0  ,"Aging, Uneven skin texture  ",Yes  ,Any  ,Hydration; Anti-aging; Plump skin  ,6 weeks   ,N/A  ,No  ,N/A  ,Boost production  ,
The Inkey List  ,GLYCOLIC ACID TONER  ,$10.99,Treat  ,"This 10% Glycolic Acid exfoliating toner helps to reduce the appearance of pores and fine lines, as well as support smoother and brighter skin.

Derived from sugar cane, this Glycolic Acid unsticks dead skin on the surface to help improve the overall appearance of skin texture and brightness. Formulated with 10% Glycolic Acid for maximum effect, and 5% Witch Hazel to help reduce excess oil and soothe. Recommended for those with oily or congested skin.
",  PM  ,No restrictions  ,"10% glycolic acid concentration helps to keep skin healthy and clear of blackheads and fine lines
5% witch hazel helps to minimize excess oil  ","Aqua (Water/ Eau), Glycolic Acid, Propanediol, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Butylene Glycol, Phenoxyethanol, Alcohol, PPG-26-Buteth-26, Betaine, PEG-40 Hydrogenated Castor Oil, Boerhavia Diffusa Root Extract, Ethylhexylglycerin, Trisodium, Ethylenediamine Disuccinate.",Clean  ,3.6 - 4.0  ,"Huge pores,  Uneven skin texture  ", No  ,Any  ,"Hydration; Clearer skin, Anti-aging)  ",N/A  ,"Retinol, AHA  ",Yes  ,Satured cotton pad   ,Renews cells  ,
The Inkey List  ,HEMP OIL MOISTURIZER  ,$12.99,Moisturize  ,"A soothing, rich yet lightweight moisturizer that nourishes your skin and helps it look energized.

Packed full of Omega-3 and Omega-6 fatty acids, this Hemp Oil moisturizer gives a nourishing boost to skin in need of some TLC. Green tea extract helps to soothe and calm, and the lightweight texture is easily absorbed into the surface of your skin. This makes it great for dry and combination skin, as well as those days when your skin is more oily.
",  AM/PM  ,No restrictions  ,"Cannabis Sativa Seed Oil
Betaine
Camellia Sinensis (Green Tea) Leaf Extract  ","Water (Aqua / Eau), Glycerin, Cannabis Sativa (Hemp) Seed Oil, Isoamyl Laurate, Cocos Nucifera (Coconut) Oil, Betaine, PentaerythritylDistearate, Propanediol, Camellia Sinensis (Green Tea) Leaf Extract, Polyacrylate Crosspoly- mer-6, Phenoxyethanol, Sodium Levulinate, Sodium Benzoate, Potassium Sorbate, Sodium Anisate, Sodium Stearoyl Glutamate, Xanthan Gum, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, t-Butyl Alcohol.","Clean, treated  ",5.0-6.0  ,"Dry, Irritation   ",Yes  ,Any  ,Hydration; Even Tone;Plump Skin  ,N/A  ,N/A  ,No  ,Pea-sized  ,Seal the moisture  ,
The Inkey List  ,TRANEXAMIC ACID NIGHT TREATMENT  ,$14.99,Treat  ,"This overnight treatment targets hyperpigmentation, uneven patches and dark spots. It brightens your skin\'s complexion, as well as aids the reduction of dark spots and uneven skin tone. Formulated with 2% Tranexamic Acid, 2% Acai Berry extract to promote even skin tone, as well as 2% skin brightening hero Vitamin C, it also boosts overall skin brightness and evens skin tone.",  PM  ,No restrictions  ,"2% tranexamic acid helps to reduce hyperpigmentation
2% acai berry extract helps to promote even skin tone
2% vitamin c derivative helps to brighten skin tone  ","Aqua (Water/ Eau), Butylene Glycol, Glycerin, Ascorbyl Glucoside, Tranexamic Acid, Euterpe Oleracea Fruit Extract, 1-Methylhydanto- in-2-Imide, Sodium Acrylates Copolymer, Phenoxyethanol, Carbomer, Sodium Hydroxide, Cetearyl Olivate, Benzyl Alcohol, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lecithin, Squalane, Ethylhexylglycerin, Sodium Gluconate, Polysorbate 60, Dehydroacetic Acid, Lactobacillus Ferment, Sorbitan Isostearate.","Clean, treated  ",6.5-7.0  ,Hyperpigmentation  ,No  ,Any  ,"Hydration;Even Tone; Anti-aging,;Glow  ",6 weeks   ,N/A  ,Yes  ,Pea-sized  ,Renews cells  ,
The Inkey List  ,Q10  ,$6.99,Treat  ,"This antioxidant works to protect your skin, hydrate it and target signs of ageing.

Working in the upper layers of the skin, Q10 is a powerful antioxidant that helps to protect your skin from environmental stress. With an added Syn®-Tacks dual peptide and Squalane, this light, hydrating serum also helps to reduce the appearance of fine lines and wrinkles. Recommended for all skin types.",  AM/PM  ,No restrictions  ,"Syn®-tacks, a dual peptide, that helps provide collagen boosting benefits
Squalane to help hydrate and protect skin  ","Water (Aqua / Eau), Butylene Glycol, Propanediol, Glycerin, Dicaprylyl Carbonate, Caprylic/capric Triglyceride, Dimethicone, Hydroxyethyl Acrylate/sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Squalane, Phospholipids, Lecithin, Glycine Soja (Soybean) Extract, Carbomer, Polysorbate 60, Tocopheryl Acetate, Ubiquinone, Disodium Edta, Sodium Hydroxide, Glycolipids, Glycine Soja (Soybean) Sterol, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Palmitoyl Dipeptide-5 Diaminohy- droxybutyrate, Leuconostoc/radish Root Ferment Filtrate, Hyaluronic Acid, Phenoxyethanol.","Clean, hydrated  ",5.89,Aging  ,Yes  ,Any  ,Hydration;Aging;Plump Skin  ,N/A  ,Vitamin C  ,No  ,Pea-sized  ,Protect the barrier  ,
The Inkey List  ,MULTI-BIOTIC  ,$12.99,Moisturize  ,"Multi-Biotic combines pro-biotic, along with its nutrients (pre) and by-products (post), to help balance and promote healthy skin.

Lightweight and suitable for all skin types, this moisturizer helps to maintain your skin’s PH balance and help protect against pollution. An unbalanced skin PH level can show itself as accelerated signs of ageing, irritation and excessive oiliness. Balancing the bacteria of the skin can be beneficial to breakout-prone skin, as well as dry and sensitive skin. It can also help to brighten and even skin tone.I-BIOTIC",  AM/PM  ,No restrictions  ,"5% Yogurtene® balance helps to balance the bacteria of the skin, reducing breakouts
2% Brightenyl® helps to provide an even skintone
2% Squalane helps to hydrate and protect skin  ","Water (Aqua / Eau), Inulin, Glycerin, Isoamyl Laurate, Propanediol, Squalane, Cetearyl Olivate, Sorbitan Olivate, Avena Sativa (Oat) Kernel Oil, Phenoxyethanol, Yogurt Powder, Sodium Caproyl Prolinate, Carbomer, Isoamyl Cocoate, Benzyl Alcohol, Sodium Hyaluronate, Sodium Stearoyl Glutamate, Ethylhexylglycerin, Diglucosyl Gallic Acid, Trisodium Ethylenediamine Disuccinate, Dehydroacetic Acid.","Clean, treated  ",5-5.5  ,"Dry,  ",Yes  ,Any  ,Hydration; Glow; Clearer skin  ,N/A  ,N/A  ,No  ,Blueberry-sized  ,Seal the moisture  ,
The Inkey List  ,OAT CLEANSING BALM  ,$9.99,Clean  ,"This luxurious cleansing balm gently dissolves make-up, cleans and nourishes the skin, making it ideal for sensitive skin types. Combining soothing colloidal oatmeal with ceramides to support skin’s natural protective barrier, it's also formulated with oat kernel oil.",  AM/PM  ,No restrictions  ,"3% Oat Kernel Oil: Gently supports skin’s moisture barrier.
1% Colloidal Oatmeal: Helps to reduce the appearance of redness and soothe irritation.  ","Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetearyl Alcohol, PEG-6 Caprylic/Capric Glycerides, Avena Sativa (Oat) Kernel Oil, Candelilla Cera (Cire de candelilla), Silica, Sorbitan Stearate, Tribehenin, PEG-60 Almond Glycerides, Avena Sativa (Oat) Kernel Flour, Aqua (Water/Eau), Benzyl Alcohol, Phenoxyethanol, Lecithin, 1,2-Hexanediol, Ascorbyl Palmitate, Tocopherol, Biosaccharide Gum-4, Helianthus Annuus (Sunflower) Seed Oil.",Damp  ,N/A  ,"Sensitive, dry  ",Yes  ,Any  ,Hydration; Calm red skin; Anti-irritation  ,N/A  ,N/A  ,No  ,Grape-sized  ,Cleanse  ,
THE ORDINARY  ,EUK 134.01 %  ,$11.00,Treat  ,"EUK-134™ is a mimetic of superoxide dismutase and catalase, forming an exceptionally rare self-regenerating molecule that scavenges superoxide free radicals, eliminates hydrogen peroxide and converts reactive oxygen species into water and oxygen. While it has been around for many years, very few products on the market do use this truly superb antioxidant which can regenerate itself to offer round-the-clock antioxidant support. The only issue with EUK-134™ is that it must not be used immediately with strong acids such as suspensions of Ascorbic Acid. Strong acids will completely destroy EUK-134™ which is based on manganese.

The low price of this formula does not reflect EUK-134™'s extremely high potency. EUK-134™ is by far one of the strongest antioxidants available. While EUK-134™ itself is very costly, the suggested concentration in any formula is below 0.05% and most formulas do not use this maximum suggestion. Our formula uses EUK-134™ at an extremely high 0.1% concentration and we do not believe any product on the market today uses a higher concentration than this amount. This formula does not contain any water, silicones, oils or alcohol. Water can impair the stability of any antioxidant.",  AM/PM  ,No restrictions  ,0.1% EUK-134  ,"Propanediol, Ethylbisiminomethylguaiacol manganese chloride.","Clean, hydrated  ",N/A  ,"Sensitive, dry  ",No  ,Any  ,Hydration;  Protect against pollution  ,N/A  ,"AHA, BHA, Pure Vitamin C (EAA/LAA), and Buffet + Copper Peptides 1%.  ",No  ,A drop  ,Renews cells  ,
THE ORDINARY  ,Resveratrol 3% + Ferulic Acid 3%  ,$10.00,Treat  ,"This formula combines very high concentrations of two of the most powerful and important antioxidants in skincare: Resveratrol and Ferulic Acid. Resveratrol is a natural phenol found in several plants and our pure source is 100% derived from Japanese Knotweed. Ferulic Acid is a high-potency phytochemical antioxidant found naturally in walls of plant cells.  
",  AM/PM  ,No restrictions  ,"Resveratrol 3%
Ferulic Acid 3%                   ","Propanediol, Resveratrol, Ferulic Acid.","Clean, hydrated  ",N/A  ,"Aging, Uneven skin texture, Dry  ",Yes  ,Any  ,Hydration; Glow; Reduce fine lines and wrinkle;   ,N/A  ,Buffet + Copter Peptides 1%  ,No  ,A drop  ,Hydrate  ,
THE ORDINARY  ,Pycnogenol 5%  ,$11.00,Treat  ,"Pycnogenol® is a natural plant extract derived from the pine bark of French maritime pine trees. It contains procyanidins, bioflavonoids and organic acids that work in synergy to rejuvenate the skin, with the aim of enhancing skin hydration and elasticity. With the ability to selectively bind to collagen and elastin, Pycnogenol® protects these proteins from degradation, helping to nourish the skin from the inside out. Being a unique and powerful antioxidant, Pycnogenol® scavenges for free radicals before they cause damage by oxidative stress. It can also recycle oxidized Vitamin C to restore its activity. The Ordinary Pycnogenol® 5% is free of artificial colours. The formula’s deep red colour is due to the high procyanidin content in Pycnogenol®. After application, please wash hands and avoid product contact with light coloured fabric as it may stain.  
                         ",  AM/PM  ,No restrictions  ,Pinus Pinaster Bark Extract 5%  ,"Propanediol, Pinus Pinaster Bark Extract","Clean, treated  ",N/A  ,"Aging, dehydrated  ",Yes  ,Any  ,Hydration;  Protect against pollution  ,N/A  ,Buffet + Copter Peptides 1%  ,No  ,3 drops  ,Protect the barrier  ,
THE ORDINARY  ,Squalane Cleanser  ,$10.00,Clean  ," A gentle cleansing product formulated to target makeup removal whilst leaving the skin feeling smooth and moisturized. The formula incorporates Squalane, alongside other lipophilic esters that are gentle, moisturizing, efficient in dissolving makeup and facial impurities and increasing the spreadability of the product. When rubbed between your palms for approximately 10-30 seconds, the product undergoes an important textural change from a balm-like consistency to a clear oil-like consistency. This allows the emulsifying sucrose esters in the formula to trap and blend the dissolved makeup and facial impurities with water for rinsing. Being non-comedogenic and soap-free, this formula is designed to be gentle enough for daily use, without over-drying the skin, making it suitable for all skin types. 
",  AM/PM  ,No restrictions  ,Squalane  ,"Squalane, Aqua (Water), Coco-Caprylate/Caprate, Glycerin, Sucrose Stearate, Ethyl Macadamiate, Caprylic/Capric Triglyceride, Sucrose Laurate, Hydrogenated Starch Hydrolysate, Sucrose Dilaurate, Sucrose Trilaurate, Polyacrylate Crosspolymer-6, Isoceteth-20, Sodium Polyacrylate, Tocopherol, Hydroxymethoxyphenyl Decanone, Trisodium Ethylenediamine Disuccinate, Malic Acid, Ethylhexylglycerin, Chlorphenesin.",Damp  ,N/A  ,"Sensitive, dry  ",Yes  ,Any  ,Hydration; Calm red skin  ,N/A  ,N/A  ,No  ,Pea-sized  ,Cleanse  ,
THE ORDINARY  ,AHA 30% + BHA 2% Peeling Solution  ,$9.00,Treat  ,"Only suitable for experienced users of acid exfoliation
With 30% Alpha Hydroxy Acids (Glycolic/Lactic/Tartaric/Citric), 2% Beta Hydroxy Acid (Salicylic Acid), Hyaluronic Acid Crosspolymer, Vitamin B5, Black Carrot and Tasmanian Pepperberry

Alpha hydroxy acids (AHA) exfoliate the skin's topmost surface for a brighter and more even appearance. Beta hydroxy acids (BHA) also exfoliate the skin with an extended function to help clear pore congestion. This combined 32% AHA/BHA solution offers deeper exfoliation to help fight visible blemishes and for improved skin radiance. The formula also improves the appearance of skin texture and reduces the look of fine lines with continued use.

This formula contains a studied Tasmanian Pepperberry derivative to help reduce irritation associated with acid use. This derivative is of plant origin and varies in colour seasonally and this colour variation may be apparent in the formula from time to time. This formula is further supported with a crosspolymer form of hyaluronic acid for comfort, Vitamin B5 to assist healing and black carrot as an antioxidant.",  PM  ,2,"30% Glycolic Acid
2% Salicyclic Acid  ","Glycolic Acid, Aqua (Water), Aloe Barbadensis Leaf Water, Sodium Hydroxide, Daucus Carota Sativa Extract, Propanediol, Cocamidopropyl Dimethylamine, Salicylic Acid, Potassium Citrate, Lactic Acid, Tartaric Acid, Citric Acid, Panthenol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Glycerin, Pentylene Glycol, Xanthan gum, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.",Clean  ,3.5-3.7  ,"Dull skin, uneven skin texture  ",No  ,Any  ,Clearer skin  ,Immediately  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,Pine nut sized  ,Exfoliate  ,
THE ORDINARY  ,Azelaic Acid Suspension 10%  ,$10.00,Treat  ,"Found in grains, Azelaic Acid is produced naturally by yeast that lives on normal skin. It brightens the skin tone while visibly improving the evenness of skin texture and reducing the look of blemishes. It is a multi-functional support ingredient for all skin types and also acts as an effective antioxidant. This formula offers a very high 10% concentration of high-purity Azelaic Acid in a lightweight cream-gel system.
",  PM  ,No restrictions  ,10% Azelaic Acid  ,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Azelaic Acid, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.","Clean, treated  ",4.0-5.0  ,"Dull skin, uneven skin texture  ",Yes  ,Any  ,Hydration; Skin texture improvement; Protect against pollution  ,N/A  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,Pea-sized  ,Protect the barrier  ,
THE ORDINARY  ,Glycolic Acid 7% Toning Solution  ,$11.00,Treat  ,"Glycolic Acid is an alpha hydroxy acid that exfoliates the skin. This 7% toning solution offers mild exfoliation for improved skin radiance and visible clarity. The formula also improves the appearance of skin texture with continued use.

This formula contains a studied Tasmanian Pepperberry derivative to help reduce irritation associated with acid use. This derivative is of plant origin and varies in colour seasonally and this colour variation may be apparent in the formula from time to time. The formula is further supported with inclusion of ginseng root and aloe vera for both visible radiance and soothing benefits.

Contraindications: This formula should not be used on sensitive, peeling or compromised skin. Please refer to additional sun protection note and other warnings in provided Directions.

This pH of this formula is approximately 3.6. Glycolic Acid has a pKa of 3.6 and pKa is the most important aspect to consider in formulating with acids. pKa implies acid availability. When pKa is close to pH, there is an ideal balance between salt and acidity, maximizing effectiveness of the acid and reducing irritation. Higher pH numbers in such a case would increase salt which counter-intuitively would make the formula even more irritating than if the formula was more acidic.",  PM  ,7,7% Glycolic Acid  ,"Aqua (Water), Glycolic Acid, Rosa damascena flower water, Centaurea cyanus flower water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, PCA, Sodium PCA, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol.",Clean  ,3.5-3.7  ,"Dull skin, uneven skin texture  ",No  ,Any  ,Clearer skin  ,N/A  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,2-3 drops  ,Exfoliate  ,
THE ORDINARY  ,Lactic Acid 5% + HA  ,$8.00,Treat  ,"Lactic Acid is an alpha hydroxy acid that exfoliates the skin. This 5% formulation offers very mild exfoliation and is supported with a purified Tasmanian pepperberry known to reduce signs of inflammation and sensitivity that is often associated with exfoliation.

This formula contains a studied Tasmanian Pepperberry derivative to help reduce irritation associated with acid use. This derivative is of plant origin and varies in colour seasonally and this colour variation may be apparent in the formula from time to time.",  PM  ,7,"5% Lactic Acid
  ","Aqua (Water), Lactic Acid, Glycerin, Pentylene Glycol, Propanediol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Acacia Senegal Gum, Xanthan Gum, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Sodium Hydroxide, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.","Clean, hydrated  ",3.6-3.8  ,"Uneven skin texture, Aging  ",No  ,Any  ,Clearer skin  ,N/A  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,2-3 drops  ,Exfoliate  ,
THE ORDINARY  ,Lactic Acid 10% + HA  ,$8.00,Treat  ,"Lactic Acid is an alpha hydroxy acid that exfoliates the skin. This 10% formulation offers mild exfoliation and is supported with a purified Tasmanian pepperberry known to reduce signs of inflammation and sensitivity that is often associated with exfoliation.

This formula contains a studied Tasmanian Pepperberry derivative to help reduce irritation associated with acid use. This derivative is of plant origin and varies in colour seasonally and this colour variation may be apparent in the formula from time to time.",  PM  ,7,10% Lactic acid  ,"Aqua (Water), Lactic Acid, Glycerin, Pentylene Glycol, Propanediol, Sodium Hydroxide, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Acacia Senegal Gum, Xanthan Gum, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.
","Clean, hydrated  ",3.6-3.8  ,"Aging, Uneven skin texture  ",No  ,Any  ,Clearer skin  ,N/A  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,2-3 drops  ,Exfoliate  ,
THE ORDINARY  ,Mandelic Acid 10% + HA  ,$8.00,Treat  ,"Mandelic Acid 10% + HA offers superficial dermal peeling that is gentler than other alpha hydroxy acids. The molecular weight of mandelic acid is 152.1 daltons which is larger than other alpha hydroxy acids (glycolic acid is 76.0 daltons, for example). This larger size allows mandelic acid to penetrate the skin more slowly which in turn makes it very gentle and suitable for all skin types. You don't need a concentration of more than 10%, because then you would simply be achieving an indirect peeling strength that is more easily offered through lower percentages of glycolic acid.
",  PM  ,7,10% Mandelic Acid  ,"Propanediol, Aqua (Water), Mandelic Acid, Glycerin, Dimethyl Isosorbide, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Pentylene Glycol, Polysorbate 20, Sodium Hydroxide, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.","Clean, hydrated  ",3.5-3.7  ,"Dull skin, uneven skin texture  ",No  ,Any  ,Clearer skin  ,N/A  ,"AHA, BHA, EUK 134 0.1%, Buffet + Copter Peptides 1%
  ",Yes  ,2-3 drops  ,Exfoliate  ,
